wage,university,female,age
29.69231,1,0,32
19.84402,1,0,27
24.71539,1,1,26
21.93077,1,1,27
17.87308,1,0,34
8.859615,0,1,29
12.034615,0,0,29
24.13461,0,0,25
28.53361,1,0,34
15.73077,1,0,27
17.51832,1,1,25
22.48077,1,0,32
23.3,1,1,33
48.57308,1,1,29
13.8544,0,0,34
12.365625,0,0,26
29.36154,1,1,34
18.78461,1,1,34
23.71282,1,1,32
24.62857,0,0,32
18.08461,0,0,27
44.31538,1,0,34
24.87802,1,1,29
22.43077,0,0,32
22.43077,1,1,32
19.56603,1,1,33
43.55979,1,0,33
48.62067,1,1,31
25.30315,1,0,34
15.01923,0,0,30
13.12692,0,1,26
16.46154,1,1,30
22.68077,1,0,34
29.49231,1,0,30
36.45385,0,0,28
36.40385,1,0,27
22.58077,1,0,33
12.565385,0,1,30
13.80769,1,0,27
22.03077,0,0,28
21.04113,1,0,25
29.24231,1,1,28
31.99615,1,0,31
17.47308,1,0,30
34.3,1,0,30
34.93077,1,1,32
13.46476,0,1,26
34.25,1,1,30
24.77802,1,1,28
31.52143,1,0,29
24.63461,0,0,30
25.24615,1,0,26
34.3,1,0,30
20.45686,0,0,33
18.18461,0,0,28
13.95769,0,0,29
15.93077,1,0,29
14.23846,1,1,27
17.52308,0,0,31
11.223077,1,0,30
14.71923,0,0,27
12.165385,0,1,26
19.525,0,0,32
17.75612,0,1,25
15.65,0,1,32
7.846154,1,0,27
12.215385,0,0,26
36.75385,1,1,31
17.80385,0,0,29
10.392307,0,0,27
20.77137,1,0,32
24.96539,0,1,29
19.9,0,0,34
16.23626,1,1,25
27.33633,1,0,25
12.215385,0,0,26
13.06667,0,1,27
20.75769,1,0,34
22.53077,1,1,33
49.40385,1,0,32
9.980769,0,1,33
8.260729,0,0,32
16.125,1,1,30
12.9515,1,1,25
14.47308,1,1,25
26.47692,0,0,34
24.76752,0,0,34
17.47308,0,1,31
14.18461,1,0,25
18.84615,1,1,25
26.32692,1,0,32
14.10769,1,0,30
41.31154,1,0,28
14.89316,1,1,25
29.87308,1,0,29
20.30769,1,1,30
23.15192,1,1,32
14.77222,0,1,26
22.53077,1,1,33
11.426923,0,1,34
9.7,0,1,30
34.83077,1,1,31
14.33846,0,0,28
20.27692,1,0,34
34.86853,1,1,34
16.31154,0,1,29
34.18291,1,1,32
34.27393,1,0,26
10.35,0,1,29
14.53077,1,1,28
13.02692,0,1,25
27.28846,1,0,32
19.70041,1,1,30
14.27451,0,0,30
22.63077,1,1,34
24.46752,1,1,31
24.97802,0,0,30
13.71923,1,0,29
23.34231,0,1,32
18.38461,0,0,30
12.87146,0,1,28
32.78718,1,1,33
6.957298,0,0,26
10.482693,0,1,26
8.75,0,0,25
24.55385,1,1,34
17.17308,1,0,27
35.10128,1,0,30
28.15,1,0,31
15.39231,1,1,27
14.86539,1,0,27
22.63077,0,0,34
25.24231,1,0,25
14.05769,0,0,30
29.44231,0,0,30
15,0,0,25
26.83846,0,0,28
10.188095,1,1,27
14.95278,1,1,28
19.24615,1,1,29
29.41154,1,0,34
16.5664,1,1,27
14.35769,0,0,33
18.16823,0,0,27
10.1,0,0,26
16.24786,0,0,30
16.06154,0,0,26
16.11154,1,0,26
17.70726,1,0,27
23.09231,0,0,29
19.7875,1,1,26
16.85,0,1,34
18.05385,0,1,32
22.43077,1,1,32
20.36539,1,0,32
22.21154,0,0,25
25.77692,1,1,27
22.38077,1,0,31
13.57692,0,0,30
26.12692,1,0,30
15.8,0,0,33
51.52692,1,0,34
23.46282,1,0,29
10.833333,0,0,25
14.38811,1,1,25
12.715385,0,0,31
8.9,0,1,27
30.22308,1,1,33
16.18077,1,1,32
27.43846,0,0,34
26.32692,1,0,32
17.19615,1,0,33
14.91923,0,0,29
14.66923,0,1,27
32.24615,1,1,34
22.03077,1,1,28
25.82692,1,0,27
20.47137,1,0,29
15.74344,0,0,33
20.33846,1,0,25
26.02692,1,0,29
17.48269,0,0,33
22.41154,1,1,27
37.38803,1,1,32
29.25385,0,0,31
10.65,0,1,27
8.34188,1,1,30
55.65385,1,0,32
20.09567,0,0,29
33.81923,1,0,30
34.34658,1,0,31
29.17059,0,0,27
14.52933,0,0,32
24.13461,1,1,25
19.72692,0,0,29
41.61154,1,0,31
20.50769,0,0,32
22.19039,1,1,32
30.22308,0,0,33
7.257693,0,1,25
18.63461,1,0,32
26.28419,1,0,32
7.715385,1,1,31
13.37692,0,0,28
18.68461,0,0,33
25.95192,1,1,30
43.63248,1,1,25
18,0,0,30
13.092308,0,0,31
25.15577,1,1,28
12.98461,1,1,26
11.834615,0,0,27
7.307693,0,0,25
16.36154,0,0,29
19.14615,0,0,28
29.44231,1,1,30
7.388462,0,1,34
21.93077,1,1,27
11.753846,0,0,31
25.69615,0,0,31
30.87531,0,0,27
14.28846,1,0,27
23.9,1,1,34
26.17692,1,1,31
15.63632,1,0,33
19.28932,1,0,30
18.05385,1,0,31
13.87692,1,1,33
16.03529,0,0,28
25.82692,1,0,27
22.7,1,1,27
10.983333,0,1,27
10.392307,0,0,27
24.98461,1,0,33
12.915385,0,0,33
13.8,1,1,25
33.38846,0,0,31
14.61923,0,0,26
18.18461,0,0,28
25.32222,1,1,31
31.89615,1,0,30
19.82692,1,1,30
26.45427,1,0,29
12.415385,0,0,28
16.07051,0,1,33
23.35,1,0,33
19.55103,0,0,29
28.59039,1,0,33
12.5,1,1,25
15.1,0,0,26
15.28741,0,0,27
28.09039,1,0,28
17.31154,0,0,26
21.89658,1,1,32
39.40769,1,0,33
17.02308,0,0,26
13.84615,1,1,25
19.11539,1,0,32
20.79927,1,1,34
19.48357,1,0,30
17.92857,1,1,25
20.45769,0,1,32
17.71539,0,0,31
8.854395,0,1,33
11.293589,0,0,28
24.75,1,1,30
28.15,1,0,31
26.41002,0,0,31
13.92692,0,1,34
14.59808,0,0,33
22.24039,1,0,32
18.41539,1,0,25
21.71502,0,0,34
16.93461,1,1,28
17.19417,1,1,32
9.711538,0,0,25
21.41923,1,0,31
7.857693,0,1,31
17.60577,1,0,27
17.82551,0,0,32
10.942307,0,1,33
12.815385,1,1,32
19.77692,1,0,29
25.77692,1,1,27
18.84615,1,1,25
7.307693,1,1,25
24.18846,1,0,26
19.52692,0,0,27
15.90182,0,1,33
9.119231,0,1,34
14.81827,0,0,34
15.45769,0,1,32
34.06923,0,0,33
8.05504,0,1,28
13.44615,0,1,34
22.89231,0,0,27
8.113866,1,0,27
6.748583,1,1,27
16.55096,0,0,29
10.442307,0,1,28
25.41539,1,1,33
27.86367,1,0,26
9.811538,0,0,26
17.37308,0,1,30
28,0,0,30
15.75,0,1,33
21.93077,1,1,27
16.97308,1,0,25
29.19231,1,0,27
34.1,1,0,28
43.76538,1,1,29
9.623077,0,0,27
23.39231,0,0,32
26.98846,0,1,30
14.30769,0,1,33
12.65,0,1,32
11.771154,0,1,34
16.99615,1,0,31
24.88461,1,0,32
13.88376,1,1,32
15.2,1,1,27
14.45769,0,0,34
9.069231,0,0,33
16.31923,0,1,31
17.37308,0,1,30
19.09615,1,0,27
17.87308,1,0,34
21.78077,1,0,25
13.07146,0,1,30
21.73077,1,1,25
19.62692,0,0,28
16.26154,1,1,28
15.15,0,1,27
12.341771,1,0,29
9.773077,0,1,29
24.98461,0,1,34
23.43461,1,0,30
31.21539,1,0,28
26.30427,1,1,28
19.21539,0,1,34
17.41099,0,0,34
27.04506,1,0,33
21.76271,1,0,29
14.73846,1,1,32
15.26923,0,1,33
12.590659,0,1,33
8.805555,1,0,32
38.09274,0,1,31
19.37564,1,0,33
13.92692,0,1,34
24.69663,1,1,34
12.561538,1,1,31
33.85,0,0,26
28.15,1,0,31
19.03427,1,1,33
25.12222,1,1,29
23.19231,0,0,30
22.48077,1,0,32
18.78077,1,1,33
20.62033,1,0,34
20.54402,1,0,34
14.04675,0,0,31
12.615385,1,1,30
11.944871,1,0,26
15.71264,1,0,33
13.97692,0,0,34
9.3,0,1,31
14.61923,0,0,26
14.8,0,0,28
9.693407,0,0,31
17.42308,0,0,30
41.71154,1,0,32
41.86154,0,0,34
14.45833,1,1,30
12.965385,0,1,34
27.38846,1,0,33
36.96068,1,1,32
15.52051,1,1,27
13.62753,1,1,30
12.165385,1,0,25
18.18461,1,1,28
22.53077,1,1,33
13.015385,0,0,34
11.334023,1,0,30
24.93461,0,0,33
13.81731,0,0,30
11.934615,0,0,28
12.465385,1,0,28
12.8,0,0,32
7.760729,0,0,27
14.96923,0,1,30
16.01154,1,0,25
24.55385,0,0,34
13.57692,0,0,30
13.52821,0,0,34
40.6,0,0,31
32.19615,1,0,33
27.25,1,0,32
16.38626,1,0,26
20.60769,1,1,33
15.53741,1,0,29
24.26752,0,0,29
35.41154,1,1,32
24.23461,1,1,26
14,1,0,27
20.92885,0,0,29
23.90385,1,0,27
16.66154,1,1,32
13.73376,1,0,30
14.61923,0,0,26
16.54615,0,0,27
15.33,1,0,31
17.66346,0,0,25
46.71923,1,0,34
20.05769,1,0,27
37.43803,1,0,32
26.20427,1,1,27
14.45769,1,1,34
37.79274,1,0,27
41.18419,1,0,31
16.11154,1,0,26
17.88461,0,0,25
9.961538,0,1,28
26.04615,1,0,34
41.91154,1,0,34
21.78077,1,0,25
12,0,1,33
28.99231,1,0,25
16.86154,0,0,34
14.73846,1,1,32
43.91538,1,0,30
11.985759,0,1,32
28.4102,0,0,29
25.59615,0,0,30
13.22692,1,0,26
6.796154,0,1,30
13.99103,1,0,33
9.45,0,0,32
15.28776,1,0,30
13.095833,0,0,32
19.52692,1,1,27
32.61453,1,1,27
26.41864,1,0,27
29.52378,0,0,33
