"experience","weeks","occupation","industry","south","smsa","married","gender","union","education","ethnicity","wage","year","id"
12,34,"blue","yes","no","yes",1,"male","yes",13,"afam",979,"1980","35"
13,48,"blue","yes","no","yes",1,"male","yes",13,"afam",1110,"1981","35"
14,45,"blue","yes","no","yes",1,"male","yes",13,"afam",1125,"1982","35"
15,52,"blue","no","yes","yes",1,"male","no",10,"other",750,"1976","36"
16,47,"white","no","yes","yes",1,"male","no",10,"other",875,"1977","36"
17,50,"white","no","yes","no",1,"male","no",10,"other",1250,"1978","36"
18,50,"white","no","yes","no",1,"male","no",10,"other",1198,"1979","36"
19,48,"white","no","yes","yes",1,"male","no",10,"other",1250,"1980","36"
20,50,"white","no","yes","yes",1,"male","no",10,"other",1000,"1981","36"
21,41,"white","no","yes","yes",1,"male","no",10,"other",1313,"1982","36"
12,52,"white","no","no","yes",1,"male","no",14,"other",998,"1976","37"
13,47,"white","no","no","yes",1,"male","no",14,"other",847,"1977","37"
14,50,"white","no","no","yes",1,"male","no",14,"other",1100,"1978","37"
15,49,"white","no","no","yes",1,"male","no",14,"other",1250,"1979","37"
16,50,"white","no","no","yes",1,"male","no",14,"other",1265,"1980","37"
17,48,"white","no","no","yes",1,"male","no",14,"other",1455,"1981","37"
18,49,"white","no","no","yes",0,"male","no",14,"other",1651,"1982","37"
10,48,"blue","yes","no","no",1,"male","yes",12,"other",425,"1976","38"
11,49,"blue","yes","no","no",1,"male","yes",12,"other",425,"1977","38"
12,48,"blue","yes","no","no",1,"male","yes",12,"other",425,"1978","38"
13,48,"blue","yes","no","no",1,"male","yes",12,"other",583,"1979","38"
14,49,"blue","yes","no","no",1,"male","yes",12,"other",624,"1980","38"
15,48,"white","yes","no","no",1,"male","yes",12,"other",699,"1981","38"
16,49,"blue","yes","no","no",1,"male","yes",12,"other",680,"1982","38"
6,47,"white","no","no","yes",1,"male","no",13,"other",650,"1976","39"
7,51,"white","no","no","yes",0,"male","no",13,"other",725,"1977","39"
8,48,"white","no","no","yes",0,"male","no",13,"other",650,"1978","39"
9,50,"white","no","no","yes",0,"male","no",13,"other",685,"1979","39"
10,50,"white","no","no","yes",0,"male","no",13,"other",900,"1980","39"
11,52,"white","no","no","yes",0,"male","no",13,"other",880,"1981","39"
12,51,"white","no","no","yes",1,"male","no",13,"other",905,"1982","39"
30,47,"white","no","yes","no",1,"male","yes",8,"other",577,"1976","40"
31,39,"white","no","yes","no",1,"male","yes",8,"other",665,"1977","40"
32,32,"white","no","yes","no",1,"male","yes",8,"other",722,"1978","40"
33,35,"white","no","yes","no",1,"male","yes",8,"other",808,"1979","40"
34,47,"white","no","yes","no",1,"male","yes",8,"other",887,"1980","40"
35,45,"white","no","yes","no",1,"male","yes",8,"other",1000,"1981","40"
36,47,"white","no","yes","no",1,"male","yes",8,"other",1569,"1982","40"
20,50,"white","no","yes","yes",1,"male","no",16,"other",998,"1976","41"
21,50,"white","no","yes","yes",1,"male","no",16,"other",998,"1977","41"
22,50,"white","no","yes","yes",1,"male","no",16,"other",1600,"1978","41"
23,50,"white","no","yes","yes",1,"male","no",16,"other",1792,"1979","41"
24,50,"white","no","yes","yes",1,"male","no",16,"other",1950,"1980","41"
25,48,"white","no","yes","yes",1,"male","no",16,"other",1860,"1981","41"
26,47,"white","no","yes","yes",1,"male","no",16,"other",2310,"1982","41"
30,38,"blue","yes","no","yes",0,"female","yes",12,"afam",502,"1976","42"
31,41,"blue","no","no","yes",0,"female","yes",12,"afam",661,"1977","42"
32,51,"blue","no","no","yes",0,"female","yes",12,"afam",721,"1978","42"
33,50,"blue","yes","no","yes",0,"female","yes",12,"afam",804,"1979","42"
34,42,"blue","yes","no","yes",0,"female","yes",12,"afam",892,"1980","42"
35,50,"blue","yes","no","yes",0,"female","yes",12,"afam",1017,"1981","42"
36,49,"blue","yes","no","yes",0,"female","yes",12,"afam",1125,"1982","42"
5,49,"white","no","no","yes",1,"male","no",16,"other",800,"1976","43"
6,47,"white","no","no","yes",1,"male","no",16,"other",938,"1977","43"
7,48,"white","no","no","yes",1,"male","no",16,"other",1000,"1978","43"
8,49,"white","no","no","yes",1,"male","no",16,"other",1100,"1979","43"
9,46,"white","no","no","yes",1,"male","no",16,"other",1250,"1980","43"
10,45,"white","no","no","yes",1,"male","no",16,"other",1650,"1981","43"
11,49,"white","no","no","yes",1,"male","no",16,"other",1700,"1982","43"
7,48,"white","yes","no","yes",1,"male","no",17,"other",998,"1976","44"
8,48,"white","yes","no","yes",1,"male","no",17,"other",998,"1977","44"
9,48,"white","yes","no","yes",1,"male","no",17,"other",1350,"1978","44"
10,47,"white","yes","no","yes",1,"male","no",17,"other",1500,"1979","44"
11,46,"white","yes","no","yes",1,"male","no",17,"other",1700,"1980","44"
12,46,"white","yes","no","yes",1,"male","no",17,"other",1796,"1981","44"
13,46,"white","yes","no","yes",1,"male","no",17,"other",2000,"1982","44"
13,49,"white","no","no","yes",0,"female","no",13,"other",505,"1976","45"
14,50,"white","no","no","yes",0,"female","no",13,"other",563,"1977","45"
15,50,"white","no","no","yes",0,"female","no",13,"other",550,"1978","45"
16,50,"white","no","no","yes",0,"female","no",13,"other",650,"1979","45"
17,50,"white","no","no","yes",0,"female","no",13,"other",760,"1980","45"
18,50,"white","no","no","yes",0,"female","no",13,"other",798,"1981","45"
19,49,"white","no","no","yes",0,"female","no",13,"other",775,"1982","45"
6,42,"blue","no","no","no",1,"male","yes",12,"other",458,"1976","46"
7,44,"blue","no","no","no",1,"male","yes",12,"other",509,"1977","46"
8,48,"blue","no","no","no",1,"male","yes",12,"other",559,"1978","46"
9,47,"blue","no","no","no",1,"male","yes",12,"other",558,"1979","46"
10,48,"blue","no","no","no",1,"male","yes",12,"other",644,"1980","46"
11,47,"white","no","no","no",1,"male","yes",12,"other",740,"1981","46"
12,47,"blue","no","no","no",1,"male","yes",12,"other",700,"1982","46"
26,48,"white","no","no","yes",1,"male","no",14,"other",998,"1976","47"
27,49,"white","no","no","yes",1,"male","no",14,"other",998,"1977","47"
28,48,"white","no","no","yes",1,"male","no",14,"other",1150,"1978","47"
29,48,"white","no","no","yes",1,"male","no",14,"other",1200,"1979","47"
30,48,"white","no","no","yes",1,"male","no",14,"other",1350,"1980","47"
31,47,"white","no","no","yes",1,"male","no",14,"other",1234,"1981","47"
32,48,"white","no","no","yes",1,"male","no",14,"other",1200,"1982","47"
26,50,"white","yes","no","yes",0,"male","no",16,"other",998,"1976","48"
27,50,"white","yes","no","yes",0,"male","no",16,"other",998,"1977","48"
28,50,"white","yes","no","yes",0,"male","no",16,"other",1250,"1978","48"
29,50,"white","yes","no","yes",0,"male","no",16,"other",1375,"1979","48"
30,48,"white","yes","no","yes",1,"male","no",16,"other",1250,"1980","48"
31,41,"white","yes","no","yes",1,"male","no",16,"other",1500,"1981","48"
32,49,"white","yes","no","yes",0,"male","no",16,"other",1700,"1982","48"
31,47,"white","yes","no","no",1,"male","no",16,"other",998,"1976","49"
32,46,"white","yes","no","no",1,"male","no",16,"other",998,"1977","49"
33,47,"white","yes","no","no",1,"male","no",16,"other",2000,"1978","49"
34,48,"white","yes","no","no",1,"male","no",16,"other",2156,"1979","49"
35,47,"white","yes","no","no",1,"male","no",16,"other",2213,"1980","49"
36,49,"white","yes","no","no",1,"male","no",16,"other",2200,"1981","49"
37,48,"white","yes","no","no",1,"male","no",16,"other",2492,"1982","49"
31,50,"white","no","no","yes",0,"female","yes",12,"other",529,"1976","50"
32,45,"white","no","no","yes",0,"female","yes",12,"other",601,"1977","50"
33,43,"white","no","no","yes",0,"female","yes",12,"other",654,"1978","50"
34,48,"white","no","no","yes",0,"female","yes",12,"other",704,"1979","50"
35,46,"white","no","no","yes",0,"female","yes",12,"other",777,"1980","50"
36,32,"white","no","no","yes",0,"female","yes",12,"other",853,"1981","50"
37,28,"white","no","no","yes",0,"female","yes",12,"other",943,"1982","50"
31,45,"white","yes","no","yes",1,"male","no",17,"other",998,"1976","51"
32,48,"white","yes","no","yes",1,"male","no",17,"other",998,"1977","51"
33,48,"white","yes","no","yes",1,"male","no",17,"other",2000,"1978","51"
34,47,"white","no","no","yes",1,"male","no",17,"other",2100,"1979","51"
35,48,"white","yes","no","yes",1,"male","no",17,"other",2500,"1980","51"
36,47,"white","yes","no","yes",1,"male","no",17,"other",2600,"1981","51"
37,44,"white","yes","no","yes",1,"male","no",17,"other",2750,"1982","51"
25,46,"white","no","no","yes",1,"male","no",16,"other",998,"1976","52"
26,49,"white","no","no","yes",1,"male","no",16,"other",998,"1977","52"
27,49,"white","no","no","yes",1,"male","no",16,"other",1400,"1978","52"
28,48,"white","no","no","yes",1,"male","no",16,"other",1250,"1979","52"
29,48,"white","no","no","yes",1,"male","no",16,"other",1750,"1980","52"
30,48,"white","no","no","yes",1,"male","no",16,"other",2000,"1981","52"
31,49,"white","no","no","yes",1,"male","yes",16,"other",2100,"1982","52"
13,47,"white","no","yes","no",1,"male","no",13,"other",624,"1976","53"
14,49,"white","no","yes","no",1,"male","no",13,"other",998,"1977","53"
15,48,"blue","no","no","no",1,"male","no",13,"other",1050,"1978","53"
16,49,"blue","no","no","no",1,"male","no",13,"other",1050,"1979","53"
17,48,"white","no","no","no",1,"male","no",13,"other",1165,"1980","53"
18,47,"blue","no","no","no",1,"male","no",13,"other",1350,"1981","53"
19,48,"white","no","no","no",1,"male","no",13,"other",1350,"1982","53"
13,47,"blue","yes","no","no",1,"male","yes",11,"other",673,"1976","54"
14,52,"blue","yes","no","no",1,"male","yes",11,"other",728,"1977","54"
15,51,"blue","yes","no","no",1,"male","yes",11,"other",800,"1978","54"
16,51,"blue","yes","no","no",1,"male","yes",11,"other",850,"1979","54"
17,49,"blue","yes","no","no",1,"male","yes",11,"other",990,"1980","54"
18,49,"blue","yes","no","no",1,"male","yes",11,"other",1185,"1981","54"
19,50,"blue","yes","no","no",1,"male","yes",11,"other",1212,"1982","54"
32,49,"blue","yes","no","yes",1,"male","yes",8,"other",776,"1976","55"
33,49,"blue","yes","no","yes",1,"male","yes",8,"other",944,"1977","55"
34,49,"blue","yes","no","yes",1,"male","yes",8,"other",950,"1978","55"
