DALE,HEXP,HC3,OECD,GINI,GEFF,VOICE,TROPICS,POPDEN,PUBTHE,GDPC
55.1953,152.617,7.64883,0,0.381411,-0.358067,0.430672,1,79.4361,99.3,1541.59
58.1291,486.895,6.42875,0,0.474325,0.311548,0.46884,1,148.328,51.5,8114.91
65.3526,859.054,10.6458,1,0.3054,0.409,1.002,0,477.315,37.8,12821.7
63.2279,611.304,6.97856,0,0.3679,-0.063,0,0,106.233,87.4,18524.4
46.0771,52.396,6.53609,0,0.291,-0.395,-1.05,1,21.1302,62.7,1455.44
60.541,561.125,6.76984,0,0.3679,0.174,-0.404,0,402.436,29.6,5555.69
33.9417,33.291,2.54978,0,0.444238,-0.922,-0.888,1,29.8072,66.7,1109.7
59.3254,220.463,6.32472,0,0.3679,-1.322,-1.346,0,321.407,54.2,6484.2
61.9861,216.17,5.35924,0,0.4103,-0.0477035,-0.0266765,1,262.884,65.1,5404.25
62.7271,76.728,6.42826,0,0.3324,-0.612,-0.157,1,281.03,45.4,2557.6
36.9617,100.58,3.96822,0,0.5377,-0.462,-0.146,0,66.3527,72.6,1796.06
64.1941,234.954,8.32995,0,0.3127,0.127,0.767,0,57.5333,75.7,4518.35
71.3647,1997.44,9.53823,1,0.2609,1.674,1.461,0,159.738,91.4,30264.3
62.2477,246.394,8.93687,0,0.3117,0.068,0.625,0,38.5148,61,4039.25
59.2582,159.322,2.30829,0,0.3821,0.267,-0.24,0,40.5092,40.7,3006.09
72.6182,1799.2,8.21049,0,0.285139,0.774383,0.800222,0,7.03637,62.5,22490
61.6065,133.388,8.09216,0,0.3322,-0.46,0.161,0,128.404,75.1,1607.09
36.6094,17.8421,3.37426,0,0.4414,-0.295,0.309,1,23.9037,53.8,849.624
53.8068,246.915,5.65413,0,0.343567,-0.0612434,-0.909,1,2426.38,63.9,3011.16
65.2382,418.895,7.68636,1,0.513,0.179,-0.108,1,4771.6,41,7480.27
56.794,237.489,7.94439,0,0.381411,-0.100853,0.433946,1,335.21,74.3,2638.77
63.9348,139.802,7.22923,0,0.319462,-0.576,0.087,0,81.15,84.8,2291.84
33.0557,33.6987,1.03719,0,0.4836,-0.052,0.415,1,819.941,45.8,802.349
70.7064,756.83,5.92204,0,0.285139,0.629,1.413,0,1128.16,58.9,12013.2
51.6338,79.3151,2.97637,0,0.343567,-1.461,-1.748,1,66.5507,12.6,3050.58
53.7391,68.1773,6.24737,0,0.3216,0.018,0.843,0,160.725,82,1585.52
34.2885,49.6482,1.07827,0,0.3796,-0.331,-0.172,1,21.3299,71.3,856.003
41.3992,73.0852,2.79338,0,0.3758,-0.656,-0.971,1,236.204,30.3,1305.09
58.2662,287.86,6.21438,0,0.444238,0.172,1.012,1,864.458,52.9,8224.58
29.3931,49.3171,3.07684,0,0.441193,-0.625,0.062,1,108.793,59.2,850.295
61.4222,205.923,6.53962,0,0.4657,0.714,-0.144,1,66.4015,57.6,8580.12
35.602,310.163,4.28408,0,0.441193,0.044,0.473,1,1.98274,51.7,4135.5
29.1183,26.8284,1.06463,0,0.4881,-1.387,-0.744,1,828.44,46.6,766.525
38.2002,35.1942,3.92648,0,0.4809,-1.321,-1.234,1,130.545,28.2,1135.3
58.1382,149.782,4.07085,0,0.4814,-0.547,0.069,1,39.3633,53.3,1872.27
72.2349,1902.06,9.09707,1,0.3136,2.03,1.607,0,373.753,70.7,21614.3
71.8644,1696,8.44704,1,0.2507,1.666,1.654,0,14.3934,82,26092.3
49.4946,40.7988,2.31488,0,0.3516,-1.038,0.047,0,149.713,26,1102.67
52.3851,598.12,8.4766,0,0.381411,0.382827,0.705756,1,531.51,99,11962.4
69.4237,1397.17,11.22,1,0.29035,1.571,1.457,0,13.9073,71.7,17038.7
64.6659,332.341,3.02789,0,0.3679,0.9,-0.57,1,7.17575,54.5,8521.58
55.8208,70.7307,4.66487,0,0.2986,-0.744,-0.441,0,1621.02,22.9,1768.27
66.0172,450.33,8.45807,0,0.4686,-0.277,0.665,1,36.7878,74,6004.4
59.3184,246.43,6.96611,0,0.443,0.173,-0.687,1,1879.32,39.7,4400.54
58.8918,98.3472,7.51272,0,0.4429,0.126,0.614,1,251.318,48.5,2892.57
58.9601,558.13,7.6969,0,0.381411,0.366285,0.714273,1,38.896,90,9302.16
47.0424,75.8578,2.69867,0,0.4868,-0.694,0.121,1,9.90966,77.6,2447.03
66.3193,392.727,9.71776,1,0.317,0.674,1.07,0,123.735,71.6,6334.3
52.1638,39.4453,5.14423,0,0.343567,-0.301,-1.789,0,189.91,83.7,1314.84
69.571,1062.23,6.4483,1,0.3441,1.151,1.479,0,97.8856,57.5,12954.1
63.0053,204.297,5.4219,0,0.5637,-1.1,-0.419,0,12.7244,35.6,3648.17
64.6171,1114.13,6.46804,0,0.3679,0.48,-0.775,0,65.1993,57.5,17140.4
62.4122,135.251,9.69343,0,0.2728,-0.57,0.406,0,94.7648,60.3,3559.23
61.3989,252.764,9.40349,0,0.4641,-0.595,-0.311,0,8756.29,76.8,4680.82
32.967,35.4881,3.54614,0,0.2784,-1.204,-1.175,1,344.017,50.1,825.306
64.5261,336.314,3.84841,0,0.3679,-0.349,-1.103,0,1036.88,89.6,9608.97
42.7808,44.1305,1.89455,0,0.334725,-1.697,-1.498,1,1107.26,20.9,1260.87
44.5974,71.2122,2.56695,0,0.3956,0.047,-0.292,1,446.62,55.7,1582.49
69.5453,784.999,6.51059,0,0.29035,2.082,0.04,1,6034.42,35.8,25322.5
63.3673,81.0208,4.92782,0,0.381411,-0.52053,1.173,1,14.5312,99.3,2531.9
25.9209,31.4441,2.57326,0,0.6091,0.009,-1.623,1,66.3046,9.7,641.716
61.4624,227.227,3.83598,0,0.5001,-0.262,-0.1,1,290.139,37.2,3246.09
36.3138,11.0619,1.0606,0,0.334725,-1.697,-1.694,1,13.709,71.4,737.459
53.4804,45.0142,4.00973,0,0.444238,-1.09487,0.821,0,2323.66,75,1125.36
62.6836,258.025,6.38411,0,0.474325,-0.146,0.283,1,2.82933,34,3395.07
66.7293,606.955,10.2358,1,0.1873,-0.032,0.738,0,111.218,81.8,7057.61
68.6133,1041.88,9.08776,0,0.2604,0.567,1.066,0,95.519,80.8,11083.8
73.2344,1940.61,9.72662,1,0.2429,1.573,1.628,0,19.9515,78,21093.6
38.0908,117.161,5.06496,0,0.5755,-0.474,-0.778,0,55.8277,72.3,3445.92
59.3708,472.848,4.51424,0,0.444238,0.2821,0.422494,1,370.42,76.2,8014.37
58.7663,107.327,5.9091,0,0.3679,-1.181,-1.358,0,79.2333,33.6,4293.1
39.4289,35.7681,2.36925,0,0.444238,-0.714,-0.854,1,564.964,79.3,831.816
40.6725,34.4566,3.6175,0,0.444238,-0.374,-1.051,1,75.8498,42.8,1230.59
60.2828,324.925,6.17003,0,0.3988,0.01,0.215,1,117.643,33,6130.67
57.2489,93.581,8.21049,0,0.319462,-1.423,-1.565,0,41.293,87.8,1231.33
54.4265,89.7149,7.97494,0,0.3932,-1.252,-1.451,0,8.756,86,2086.39
57.4044,59.4349,7.64883,0,0.381411,-1.02022,-0.457104,0,399.7,91.5,1007.37
62.8833,253.107,9.53858,0,0.381411,0.0136249,0.409158,1,140.416,46,3244.97
64.7011,334.165,7.51988,0,0.389,0.521,0.953,1,253.766,58.6,7771.29
61.3681,248.442,4.88008,0,0.3864,0.633,-0.589,0,59.2477,41.7,4600.78
62.8969,229.022,4.3775,1,0.3979,-0.412,-0.859,0,80.3995,74,5872.37
36.0361,36.757,3.14593,0,0.3679,-0.485,-0.283,1,35.3133,60.7,765.771
32.7099,43.633,2.0883,0,0.3743,-0.251,-0.517,1,99.055,38.7,1064.22
63.0732,128.971,9.15311,0,0.3132,-0.893,-0.008,0,85.2155,75.5,2303.06
66.9618,847.681,7.60409,0,0.4075,0.618,0.77,0,18.3448,20.3,8476.81
70.269,3721.27,11.5,1,0.3924,1.366,1.505,0,2883.17,44.1,27162.5
60.3215,109.548,6.967,0,0.3227,-1.305,-1.343,0,52.6161,80.9,2608.28
63.3581,208.84,5.35924,0,0.474325,-0.131812,0.146772,1,288.552,65.8,3539.66
65.2272,300.523,5.36225,0,0.4684,-0.849,0.179,1,24.8713,67.4,7705.71
58.239,65.0349,8.32588,0,0.3461,-0.3,-1.416,1,232.499,20,1354.89
52.8098,85.5892,4.41864,0,0.381411,-0.428863,-0.422166,1,14.1454,64.3,2593.61
60.7953,95.5794,10.3953,0,0.381411,-0.432954,0.0447947,1,62.1472,88.9,2811.16
49.7236,33.166,1.59216,0,0.3798,-0.621,-0.415,1,40.1066,37.9,975.469
66.1885,126.579,7.61586,0,0.319462,-0.953,-0.92,0,101.925,77.8,2812.86
40.6412,399.105,5.92151,0,0.5707,-0.01,0.991,0,3343.24,46.5,5621.2
36.2612,22.2841,3.3565,0,0.441193,-1.769,-1.567,0,20.85,0.9,602.272
30.2543,64.2647,5.39223,0,0.476,-0.399,-0.046,1,12.7046,53.3,1089.23
32.9744,130.392,4.13537,0,0.5427,-1.129,-0.666,1,29.6336,48,2103.09
