ahe,female,age,yrseduc,location
17.09401703,1,33,13,south
9.61490345,0,62,10,south
14.90384579,0,55,12,south
15,1,61,13,south
18.07692337,1,51,16,midwest
29.61538506,0,37,16,south
25,0,45,16,midwest
4.945055008,1,42,14,midwest
12.01923084,1,56,16,midwest
25.64102554,0,60,13,midwest
19.23077011,0,41,12,south
16.82692337,1,41,13,south
3.846153736,1,54,11,south
14.10256386,1,34,18,south
12.69230747,0,53,13,south
24.03846169,1,42,16,south
12.58741283,0,63,18,south
14.42307663,1,50,12,south
13.94230747,1,27,16,south
15.38461494,1,47,10,south
9.230769157,1,27,13,south
14.42307663,1,46,12,south
30.76922989,1,64,12,south
12.98076916,1,56,12,south
8.17307663,1,38,11,south
9.391771317,1,27,14,south
14.42307663,1,41,12,northeast
21.63461494,0,42,12,northeast
14.42307663,1,45,12,northeast
10.53846169,0,27,13,northeast
9.134614944,0,40,12,northeast
18.02884674,0,37,16,northeast
38.46154022,0,29,18,south
11.45833302,0,56,13,south
44.48380661,1,37,19,south
36.71328735,0,57,13,south
38.46154022,0,35,16,south
45.19230652,0,56,14,south
19.23077011,0,29,18,south
9.615385056,0,53,12,south
15.38461494,1,53,12,south
4.578754425,1,27,11,south
9.79020977,0,25,10,south
10.81730747,1,29,11,south
21.2550602,0,27,14,northeast
33.65384674,0,48,20,northeast
42.30769348,0,48,18,northeast
21.15384674,1,59,12,northeast
13.46153831,0,63,8,northeast
11.85897446,1,54,12,northeast
40.86538315,0,46,12,northeast
5.769230843,0,29,12,northeast
5.769230843,1,28,13,northeast
48.07692337,0,63,16,northeast
7.211538315,0,22,12,northeast
43.26922989,0,45,19,northeast
55.28845978,1,40,19,northeast
48.07692337,0,33,16,northeast
28.84615326,1,27,16,northeast
8,1,42,12,northeast
26.44230843,0,61,18,northeast
27.88461494,1,60,14,northeast
13.94230747,1,35,13,northeast
20.19230843,0,41,12,northeast
9.615385056,1,40,12,northeast
36.87163544,1,46,16,northeast
24.51922989,0,42,6,northeast
14.42307663,0,49,12,northeast
9.615385056,0,25,12,northeast
14.52991486,1,24,12,northeast
20.67307663,1,58,12,northeast
21.63461494,1,38,16,northeast
20.67307663,0,37,14,northeast
20.19230843,0,64,18,northeast
28.84615326,0,48,12,northeast
12.59615421,1,26,16,northeast
11.53846169,0,52,13,northeast
19.23077011,0,41,14,midwest
13.5,0,29,12,midwest
6.25,1,64,13,midwest
14.42307663,1,33,16,midwest
17.30769157,1,43,13,midwest
47.0836525,0,45,18,midwest
37.5,0,63,13,midwest
38.46154022,0,46,16,midwest
26.375,1,27,13,midwest
38.46154022,0,36,16,midwest
25.48077011,0,53,13,midwest
8.653845787,1,34,13,midwest
43.26922989,0,53,12,midwest
16.82692337,1,48,12,midwest
21.15384674,0,33,12,midwest
42.73504257,1,30,19,midwest
23.07692337,0,31,16,midwest
42.30769348,0,51,16,midwest
26.44230843,1,51,13,midwest
26.44230843,0,53,13,midwest
11.53846169,1,40,18,midwest
2.342657328,0,32,16,midwest
12.98076916,0,30,16,midwest
11.77884579,1,23,14,midwest
14.90384579,0,49,12,midwest
30.625,1,56,13,midwest
45.67307663,0,43,18,midwest
11.05769253,0,21,12,midwest
19.23077011,1,40,14,midwest
19.23077011,0,43,12,midwest
4.182692528,0,33,12,midwest
12.29874802,1,36,16,northeast
12.65182209,1,58,11,northeast
14.17004013,0,57,10,northeast
16.97115326,0,32,13,northeast
19.23077011,0,58,12,south
21.63461494,1,52,12,south
10,0,60,12,northeast
28.84615326,0,50,16,northeast
12.98076916,1,54,12,northeast
13.80629349,1,52,14,northeast
43.07692337,0,52,18,northeast
14.42307663,1,50,12,northeast
19.23077011,0,41,13,south
6.04395628,1,41,13,south
42.30769348,0,60,16,northeast
35.47008514,0,30,13,northeast
15.68825912,1,26,13,northeast
23.07692337,0,46,12,northeast
14.42307663,0,56,13,northeast
16.82692337,1,57,16,northeast
15.38461494,1,27,18,northeast
18.75,0,30,16,northeast
9.615385056,0,64,8,northeast
8.17307663,1,57,12,northeast
13.94230747,0,26,12,northeast
10.32051277,0,49,13,northeast
8.012820244,0,36,16,northeast
46.70329666,1,35,16,northeast
40.9919014,0,59,16,northeast
38.94230652,1,58,18,northeast
36.05769348,0,43,11,northeast
19.23077011,1,37,12,northeast
36.32478714,1,58,16,northeast
14.42307663,0,32,16,northeast
7.897603512,1,58,13,northeast
25.61717415,1,55,18,northeast
51.44230652,1,40,18,northeast
19.23077011,0,36,8,northeast
9.615385056,0,37,8,northeast
14.42307663,0,46,10,northeast
14.42307663,1,37,10,northeast
16.92307663,0,35,12,northeast
60.57692337,1,46,16,northeast
34.61538315,1,43,13,northeast
17.40384674,0,27,13,northeast
24.03846169,1,30,16,northeast
9.615385056,0,33,11,northeast
29.72027969,1,58,18,northeast
19.23077011,1,39,13,northeast
8.653845787,1,61,8,northeast
5.128205299,1,47,12,northeast
16.82692337,0,48,13,northeast
10.81730747,1,49,13,northeast
7.211538315,0,37,12,northeast
20.38461494,0,37,14,northeast
22.59615326,1,35,13,northeast
28.84615326,0,50,14,northeast
17.30769157,0,50,12,northeast
20.67307663,0,41,13,northeast
31.65064049,0,49,13,northeast
12.01923084,1,23,16,northeast
14.9572649,1,39,14,northeast
15.76923084,0,61,12,northeast
18.83012772,0,49,13,northeast
17.78846169,1,50,16,northeast
4.807692528,1,60,14,northeast
15,1,29,14,northeast
52.13675308,1,54,16,northeast
7.5,1,50,6,northeast
13.36538506,0,40,14,northeast
31.25,0,41,12,northeast
12.01923084,1,53,12,northeast
19.23077011,0,45,11,northeast
9.615385056,0,26,10,northeast
27.47252655,1,60,16,northeast
10.57692337,1,61,18,northeast
12.01923084,1,54,12,northeast
25.98752594,0,57,16,northeast
16.82692337,0,40,16,northeast
6.923077106,1,39,16,northeast
19.23077011,1,39,18,south
31.53846169,0,57,16,northeast
17.71255112,1,26,16,northeast
11.53846169,0,45,12,northeast
8.653845787,0,24,12,northeast
22.59615326,1,47,14,northeast
22.43589783,0,58,13,northeast
15.86538506,0,49,16,northeast
12.17355728,1,43,12,northeast
23.07692337,1,57,14,northeast
16.66666603,0,49,12,northeast
20.19230843,1,49,12,northeast
29.9145298,0,56,18,northeast
14.35445786,0,41,12,northeast
2.5,1,38,12,northeast
18.46153831,0,40,12,northeast
13.22019196,1,27,14,northeast
42.78845978,0,27,16,northeast
16.82692337,1,58,12,northeast
44.02833939,0,48,12,northeast
40.86538315,0,59,18,northeast
16.66666603,1,41,18,northeast
46.15384674,0,54,14,northeast
33.65384674,1,53,18,northeast
24.03846169,0,26,18,northeast
42.30769348,1,26,19,northeast
15.38461494,1,39,12,northeast
20.86049461,0,38,13,northeast
13.22115421,0,52,16,northeast
17.03296661,0,41,14,northeast
11.05769253,1,46,14,northeast
15,0,26,16,northeast
7.692307472,0,32,12,northeast
38.46154022,0,61,13,northeast
15.88628769,0,43,12,northeast
9.855769157,1,46,12,northeast
27.27272797,0,54,12,northeast
28.84615326,1,27,16,northeast
28.84615326,0,38,12,northeast
25.96153831,0,51,12,northeast
8.791209221,0,29,12,northeast
11.05769253,0,24,10,northeast
15.86538506,1,25,12,northeast
16.82692337,0,43,12,northeast
8.547008514,1,61,16,northeast
9.615385056,1,56,12,northeast
3.5,0,22,12,northeast
34.13461685,1,60,12,northeast
18.49112511,0,62,12,northeast
10.57692337,0,57,13,northeast
9.230769157,1,41,12,northeast
8.17307663,0,25,12,northeast
9.615385056,1,55,10,northeast
25.78671265,0,62,16,northeast
17.30769157,0,34,16,northeast
18.02884674,1,34,16,northeast
11.53846169,0,33,16,northeast
19.23077011,1,44,20,west
31.46853065,0,45,20,west
47.00897598,0,57,16,northeast
28.84663391,1,43,18,northeast
44.71154022,1,58,18,northeast
38.11188889,0,52,16,northeast
12.82051277,1,51,16,northeast
45.67307663,0,39,12,south
27.40384674,0,36,12,south
22.59615326,1,40,12,south
30.38461494,0,31,14,south
40.86538315,0,57,16,south
10.57692337,1,54,14,south
10.76923084,0,54,12,south
6.730769157,1,62,10,south
19.87179565,0,44,16,south
24.03846169,1,45,12,south
20.67307663,1,54,13,south
43.02980804,0,53,13,south
17.25833321,1,42,13,south
16.34615326,1,32,13,south
29.75961494,0,57,16,south
5.325443745,0,21,12,south
7.692307472,0,29,13,south
14.42307663,0,64,12,south
20.19230843,1,38,14,south
10.48951054,0,38,12,south
18.46153831,0,38,12,south
6.009615421,0,22,12,midwest
13.54166698,1,36,12,south
28.84615326,0,33,12,south
11.83431911,0,59,12,south
15.38461494,1,54,16,south
12.01923084,0,40,14,south
17.78846169,1,36,16,south
11.53846169,0,30,12,south
9.134614944,1,27,12,south
43.26922989,1,47,16,south
28.84615326,0,29,13,south
7.211538315,1,46,12,south
30,0,40,16,northeast
22.11538506,0,49,12,midwest
7.889546394,1,41,12,midwest
13.46153831,1,32,12,midwest
15.86538506,0,31,16,midwest
6.593406677,1,33,12,midwest
15.38461494,1,53,18,midwest
13.10817337,1,40,14,midwest
7.451922894,1,59,13,midwest
21.88317299,1,42,18,midwest
19,0,42,12,midwest
21.63461494,1,57,18,midwest
21.63461494,0,56,18,midwest
5.769230843,0,35,16,midwest
38.75,0,49,20,midwest
2.740384579,1,31,18,midwest
38.46154022,0,45,16,midwest
36.98225021,0,53,12,midwest
19.23077011,0,49,14,midwest
14.61538506,0,28,16,west
12.01923084,1,52,14,midwest
12.01923084,1,40,12,midwest
7.324999809,1,45,12,midwest
11.875,0,52,13,midwest
23.75,1,37,16,midwest
16.82692337,1,53,13,midwest
25,0,32,12,midwest
23.71111107,0,46,13,midwest
17.30769157,0,61,12,midwest
34.13461685,1,26,18,midwest
13.46153831,0,37,14,midwest
18.91025734,0,48,12,midwest
9.615385056,0,22,12,midwest
12.01923084,1,51,12,midwest
11.23384571,0,26,12,midwest
12.98076916,1,35,12,midwest
10.09615421,0,32,16,midwest
16.19433212,1,58,12,midwest
2.136752129,0,59,12,midwest
6.410256386,1,50,14,midwest
9.340659142,0,54,12,midwest
13.30128193,0,63,14,midwest
8.125,0,31,9,midwest
31.15384674,1,50,18,northeast
9.615385056,1,62,13,northeast
40.86538315,0,39,16,northeast
25.64102554,1,50,16,west
24.03846169,0,55,13,northeast
15.38461494,0,49,12,northeast
11.53846169,1,36,12,northeast
12.01923084,0,38,12,northeast
23.07692337,0,57,12,northeast
12.5,0,28,9,northeast
12.5,0,34,16,northeast
5.769230843,1,38,12,northeast
38.46154022,0,48,16,northeast
20.16129112,0,38,12,northeast
25,1,54,16,northeast
22.30769157,0,58,18,northeast
11.11111069,1,28,16,midwest
19.18367386,0,29,14,midwest
13.46153831,1,42,16,northeast
16.53846169,0,45,16,northeast
6.926113129,1,55,12,northeast
5.939903736,0,56,12,northeast
4.895104885,1,24,12,northeast
10.737607,1,43,16,northeast
16.82692337,0,30,12,northeast
40.38461685,1,49,18,northeast
31.73077011,1,31,16,northeast
24.29149818,1,29,16,northeast
23.07692337,0,47,13,northeast
11.63967609,1,46,13,northeast
12.98076916,0,53,12,northeast
15.18218613,0,58,14,northeast
10.57692337,1,64,12,northeast
7.211538315,0,41,12,south
14.42307663,0,37,14,northeast
8.79807663,0,33,12,northeast
38.46154022,1,40,16,northeast
7.10059166,0,35,12,northeast
13.94230747,1,32,12,northeast
29.05982971,0,59,16,northeast
29.80769157,1,57,14,northeast
10.2564106,1,30,16,northeast
18.46153831,0,42,12,northeast
17.39316177,0,21,12,northeast
16.82692337,1,26,14,northeast
12.5,1,24,12,northeast
7.5,1,37,12,northeast
24.03846169,0,52,12,northeast
16.82692337,1,51,12,northeast
11.18067932,0,31,14,northeast
6.25,1,34,12,northeast
28.84615326,0,43,12,northeast
24.03846169,1,40,14,northeast
11.05769253,0,34,14,northeast
11.44444466,0,52,12,northeast
8.653845787,1,53,12,northeast
7.8125,0,28,14,northeast
31.25,1,60,12,northeast
23.93162346,0,47,14,northeast
7.050000191,0,38,9,northeast
13.46153831,1,56,12,northeast
27.01465225,0,42,14,northeast
14.17451954,1,50,16,northeast
15.86538506,0,62,10,northeast
12.82051277,0,50,12,northeast
21.36752129,0,35,12,northeast
24.72527504,1,52,14,northeast
22.18934822,1,58,16,northeast
11.17500019,1,58,12,northeast
7.211538315,0,44,9,northeast
4.326922894,1,39,9,northeast
16.34615326,0,37,13,northeast
14.42307663,1,25,16,northeast
5.219780445,1,24,16,northeast
17.58241844,1,35,13,northeast
31.75230789,1,61,20,midwest
10.1214571,1,43,14,northeast
4.230769157,1,47,16,midwest
6.730769157,1,33,16,south
36.05721283,0,47,10,south
31.25,0,40,14,south
15.76923084,0,31,12,south
16.63201714,1,37,12,south
18.26922989,0,55,14,south
8.653845787,1,56,12,south
15.38461494,0,60,12,south
24.03846169,0,49,12,south
20.76922989,0,52,16,south
15.59251595,1,47,16,south
11.53846169,0,35,12,south
8.974358559,1,33,14,south
16.23931694,0,37,14,south
11.53846169,0,39,16,south
9.615385056,1,41,12,south
17.9765892,0,25,12,south
6,0,46,12,south
13.46153831,1,31,13,south
16.5,0,43,13,south
14.42307663,0,30,12,south
6.593406677,0,23,12,south
5.5,0,25,12,south
18.26922989,1,62,12,south
12.01923084,0,25,12,south
48.07692337,0,46,13,south
21.739645,0,36,12,south
7.5,1,36,10,south
18.75,0,56,13,south
14.42307663,0,55,14,south
22.72727203,0,64,13,south
21.15384674,1,51,16,south
10,0,46,11,south
25,1,47,18,northeast
20.57500076,0,34,12,northeast
18.75,1,32,12,northeast
38.46154022,0,38,16,northeast
10.57692337,1,23,12,northeast
12.98076916,0,30,13,northeast
10.1214571,1,29,12,northeast
16.82692337,0,50,12,northeast
7.692307472,1,44,12,northeast
3.365384579,1,40,14,northeast
14.42307663,0,45,12,northeast
8.25,0,37,12,northeast
14.78022003,1,49,16,northeast
18.54395676,0,50,16,northeast
16.34615326,1,61,12,south
5.341880322,0,48,18,south
22.34749603,1,47,18,south
40.86538315,0,44,16,south
45.67307663,1,38,16,south
26.44230843,1,51,11,south
15.38461494,0,48,12,south
11.05769253,1,49,12,south
19.23077011,1,35,13,south
19.23077011,0,40,12,south
45.67307663,0,59,12,south
16.15384674,0,40,12,south
26.92307663,0,38,16,south
13.31360912,0,38,12,south
12.83653831,1,43,12,south
59.13461685,0,38,13,south
23.07692337,0,47,13,south
19.23077011,0,28,12,south
48.07692337,1,28,16,south
8,1,42,13,south
2.884615421,0,28,12,south
9.397115707,1,28,10,south
20.2429142,0,40,12,south
12.14574909,1,40,12,south
9.783654213,1,38,12,south
9.482211113,1,46,12,south
9.615385056,0,33,12,south
11.96581173,0,31,16,south
21.63461494,1,36,14,northeast
17.30769157,0,34,13,northeast
28.84615326,1,38,16,northeast
20.67307663,1,41,12,northeast
31.43491173,0,61,13,northeast
5.769230843,1,53,11,northeast
21.63461494,1,40,14,northeast
14.70588207,0,47,12,northeast
11.94278812,1,58,10,northeast
14.42307663,1,37,13,northeast
18.07692337,0,39,16,northeast
46.15384674,0,38,19,northeast
24.51922989,1,45,18,northeast
17.06730843,0,49,12,northeast
28.84615326,1,41,14,northeast
40.86538315,0,40,14,northeast
44.23077011,0,40,18,northeast
16.82692337,1,60,12,northeast
22.72727203,0,60,12,northeast
42.73504257,1,54,16,northeast
21.63461494,0,49,12,northeast
17.30769157,1,39,12,northeast
10.57692337,1,40,14,midwest
8.461538315,0,41,16,northeast
33.33333206,1,44,16,northeast
20.67307663,0,36,16,northeast
19.23077011,1,31,14,northeast
19.23077011,0,32,12,northeast
14.42307663,1,34,13,northeast
14.42307663,1,27,16,northeast
9.615385056,0,40,12,northeast
38.46154022,0,50,16,northeast
26.92307663,0,56,13,northeast
13.73626328,1,54,13,northeast
12.01923084,0,48,18,northeast
38.46154022,1,48,19,northeast
15.38461494,1,27,18,northeast
12,0,45,12,northeast
27.88461494,1,44,16,south
14.79289913,0,49,13,south
33.65384674,0,23,12,south
17.30769157,0,29,13,south
11.25,1,23,12,south
26.92307663,0,51,13,south
17.30769157,1,44,14,south
12.01923084,0,49,11,south
17.30769157,1,60,12,south
31.25,0,33,13,south
15.38461494,0,28,12,south
19.23077011,0,57,12,south
15.68627453,0,28,16,midwest
2.884615421,1,55,14,south
18.22916603,0,39,8,south
3.205128193,0,52,12,northeast
15.38461494,1,40,13,south
24.5,0,40,12,south
9.615385056,0,31,12,south
5.197504997,1,45,12,south
7.692307472,1,42,12,south
20.19230843,0,46,12,south
29.069767,0,46,16,south
20.19230843,0,47,16,south
17.67151833,1,45,14,south
26.92307663,1,44,18,south
20.7489872,1,33,12,northeast
24.29149818,0,31,12,northeast
12.82051277,1,41,16,northeast
4.807692528,1,43,12,northeast
26.44230843,0,39,16,northeast
42.30769348,0,37,19,northeast
21.97802162,0,25,13,northeast
15.46822739,1,25,16,northeast
4.807692528,1,39,12,northeast
15.13504314,0,46,10,northeast
17.06730843,1,49,18,northeast
16.34615326,0,32,14,northeast
15.38461494,0,57,14,northeast
12.14285755,1,63,12,south
19.23077011,0,50,12,south
19.23077011,1,41,13,south
37.82051468,0,53,18,northeast
28.84615326,0,40,12,south
9.615385056,0,30,13,south
21.97802162,1,29,16,south
9.134614944,0,60,12,south
21.63461494,0,47,12,south
23.29881668,0,41,18,south
26.44230843,0,46,16,south
38.94230652,1,45,18,south
44.87179565,1,46,16,south
11.53846169,0,40,12,south
5.288461685,0,60,12,south
19.23077011,1,50,19,south
11.96581173,1,44,12,northeast
20.19230843,0,53,12,northeast
9.134614944,1,53,12,northeast
37.69230652,0,52,16,northeast
15.38461494,1,33,12,northeast
28.19711494,0,35,18,northeast
13.18681335,1,37,16,northeast
42.78845978,0,53,14,northeast
14.42307663,1,46,12,northeast
14.90384579,0,50,12,northeast
7.5,1,47,12,northeast
21.71288109,0,52,16,northeast
16.34615326,1,35,13,northeast
14.90384579,1,53,12,northeast
23.55769157,0,52,12,northeast
12.08791256,1,37,12,northeast
16.23931694,0,39,12,northeast
30.76922989,0,57,16,northeast
8.653845787,1,21,14,northeast
32.05128098,1,34,16,northeast
14.42307663,1,40,14,northeast
8.17307663,1,43,12,northeast
14.42307663,0,55,16,northeast
20,1,53,18,northeast
26.15384674,1,43,13,northeast
16.02564049,0,48,14,northeast
23.82943153,0,41,13,northeast
10.57692337,1,58,10,northeast
28.84615326,0,59,13,northeast
43.46154022,0,38,10,northeast
11.92307663,1,50,10,northeast
24.03846169,0,58,13,northeast
14.59183693,1,27,13,northeast
17.30769157,0,29,16,northeast
16.66666603,1,57,13,northeast
26.60256386,1,43,12,northeast
30.76922989,0,42,14,northeast
21.63461494,0,52,12,northeast
15.38461494,1,54,14,northeast
19.95192337,1,58,12,northeast
31.25,1,54,18,northeast
40.86538315,0,55,18,northeast
31.25,0,41,18,northeast
10.49890327,1,36,16,northeast
28.84615326,0,44,12,northeast
12.01923084,1,57,14,northeast
5.769230843,0,55,16,northeast
33.17307663,1,48,16,northeast
30.30303001,1,48,19,northeast
5.769230843,1,30,16,south
12.5,0,31,16,south
3.846153736,0,35,16,northeast
17.30769157,1,53,16,northeast
9.401709557,0,55,16,northeast
16.82692337,0,29,14,northeast
16.82692337,1,28,14,northeast
10.32966995,1,23,16,northeast
23.07692337,0,33,16,northeast
21.63461494,1,26,16,northeast
14.40076923,0,49,12,northeast
25.98290634,0,42,12,northeast
15.86538506,0,24,12,northeast
14.42307663,1,29,13,south
28.84615326,0,53,13,south
20.83333397,0,61,13,south
21.63461494,1,47,12,south
20.19230843,0,27,16,south
13.46153831,1,42,12,south
8.653845787,1,39,12,south
18.75,0,57,16,south
21.15384674,0,55,12,south
11.11111069,1,47,12,south
23.58299637,1,49,16,south
23.31730843,1,50,16,south
18.26922989,0,47,13,south
13.94230747,1,63,12,northeast
11.92307663,1,46,12,northeast
15.86538506,0,47,13,northeast
11.18067932,1,42,13,northeast
12.94378662,1,58,14,northeast
21.63461494,0,53,8,northeast
17.78846169,0,30,12,northeast
17.78846169,1,42,13,northeast
13.80670643,1,63,13,northeast
14.42307663,0,64,16,northeast
18.65384674,0,38,13,northeast
27.27272797,0,61,12,northeast
16.20370293,0,34,14,northeast
13.05723476,1,46,12,northeast
32,1,30,18,northeast
21.15384674,0,36,13,northeast
19.23077011,1,40,12,northeast
36.15384674,0,40,16,northeast
36.21794891,0,49,16,northeast
18.26922989,0,25,16,northeast
17.30769157,0,41,13,northeast
19.23077011,0,29,12,northeast
12.01923084,1,26,13,northeast
17.69230843,0,50,6,northeast
15.38461494,0,35,12,northeast
12.5,1,33,12,northeast
26.92307663,0,40,16,northeast
26.49572563,0,45,10,northeast
38.46154022,0,50,18,northeast
38.46154022,0,30,20,midwest
7.051281929,0,45,12,northeast
10,1,45,12,northeast
12.88461494,1,62,12,northeast
20.67307663,1,32,12,northeast
7.264957428,0,35,18,northeast
19.23077011,0,48,16,northeast
18.75,0,63,12,northeast
9.615385056,1,63,12,northeast
26.44230843,0,34,12,northeast
16.82692337,1,34,14,northeast
6.410256386,1,32,11,northeast
11,0,26,9,northeast
8.791209221,1,52,13,northeast
11.09467411,1,34,13,northeast
24.03846169,1,52,16,northeast
4.807692528,1,42,11,northeast
10,1,33,14,northeast
3.846153736,1,62,12,northeast
17.96558762,1,24,16,northeast
17.96558762,1,24,16,northeast
40.10988998,1,51,18,south
22.77327919,0,34,18,south
26.82186317,1,33,18,south
23.68420982,1,49,18,south
17.30769157,1,48,13,south
22.11538506,0,45,12,south
13.46153831,0,34,12,south
7.396449566,1,25,13,south
19.23077011,0,35,14,south
18.75,1,31,14,south
33.17307663,0,47,16,south
32.21154022,0,42,14,south
27.88461494,1,41,16,south
19.23077011,1,50,14,south
37.69230652,0,34,12,south
14.27884579,1,28,14,south
18.75,0,28,12,south
16.20370293,1,25,12,south
23.55769157,1,34,16,northeast
17.20647812,1,53,18,south
57.69230652,0,54,18,south
24.03846169,0,50,16,south
16.82692337,1,49,16,south
16.82692337,0,55,8,south
17.78846169,1,56,12,south
19.71153831,1,33,16,northeast
10.57692337,0,37,12,northeast
21.82952118,1,31,18,south
21.15384674,0,34,12,south
15.375,0,35,16,south
42.73504257,0,41,10,south
14.65201473,1,37,13,south
14.42307663,1,48,13,south
32.21154022,0,56,18,south
20.19230843,0,48,12,south
12.01923084,0,38,8,south
27.40384674,0,31,16,south
21.36752129,1,31,16,south
41.82692337,1,48,18,south
28.84615326,1,32,18,northeast
48.07692337,0,33,18,northeast
25,1,36,20,south
22.89377213,0,63,18,south
29.12087822,1,52,13,south
26.92307663,1,37,18,south
14.42307663,1,32,12,south
13.24786282,0,31,12,northeast
4.699999809,0,23,13,south
39.74359131,1,53,18,south
3.205128193,1,26,12,south
17.30769157,1,47,16,south
15.38461494,0,46,12,south
49.51922989,1,44,18,south
26.92307663,1,41,20,south
3.461538553,0,39,20,west
13.22115421,1,33,16,south
10,1,57,9,south
6,1,54,12,south
18.75,1,63,12,south
16.70040512,1,53,12,south
18.26922989,0,56,12,south
28.84615326,0,52,16,south
16.82692337,1,46,16,south
10.09615421,0,37,11,south
10,1,40,12,south
2.884615421,0,51,13,south
11.07692337,0,39,16,south
34.18803406,0,41,16,south
